"","colony","species","year","plot","plotgroup","count"
"1","Ramsay Island","ANMU",1984,"p1","anmuplots",20
"57","Ramsay Island","ANMU",1992,"p1","anmuplots",21
"113","Ramsay Island","ANMU",2002,"p1","anmuplots",22
"169","Ramsay Island","ANMU",2007,"p1","anmuplots",21
"225","Ramsay Island","ANMU",2012,"p1","anmuplots",39
"1625","Ramsay Island","ANMU",1984,"p2","anmuplots",7
"1681","Ramsay Island","ANMU",1992,"p2","anmuplots",10
"1737","Ramsay Island","ANMU",2002,"p2","anmuplots",12
"1793","Ramsay Island","ANMU",2007,"p2","anmuplots",16
"1849","Ramsay Island","ANMU",2012,"p2","anmuplots",16
"3249","Ramsay Island","ANMU",1984,"p3","anmuplots",11
"3305","Ramsay Island","ANMU",1992,"p3","anmuplots",13
"3361","Ramsay Island","ANMU",2002,"p3","anmuplots",10
"3417","Ramsay Island","ANMU",2007,"p3","anmuplots",11
"3473","Ramsay Island","ANMU",2012,"p3","anmuplots",19
"4873","Ramsay Island","ANMU",1984,"p4","anmuplots",35
"4929","Ramsay Island","ANMU",1992,"p4","anmuplots",42
"4985","Ramsay Island","ANMU",2002,"p4","anmuplots",47
"5041","Ramsay Island","ANMU",2007,"p4","anmuplots",45
"5097","Ramsay Island","ANMU",2012,"p4","anmuplots",47
"6497","Ramsay Island","ANMU",1984,"p5","anmuplots",22
"6553","Ramsay Island","ANMU",1992,"p5","anmuplots",29
"6609","Ramsay Island","ANMU",2002,"p5","anmuplots",34
"6665","Ramsay Island","ANMU",2007,"p5","anmuplots",37
"6721","Ramsay Island","ANMU",2012,"p5","anmuplots",40
"8121","Ramsay Island","ANMU",1984,"p6","anmuplots",28
"8177","Ramsay Island","ANMU",1992,"p6","anmuplots",32
"8233","Ramsay Island","ANMU",2002,"p6","anmuplots",36
"8289","Ramsay Island","ANMU",2007,"p6","anmuplots",29
"8345","Ramsay Island","ANMU",2012,"p6","anmuplots",23
"9745","Ramsay Island","ANMU",1984,"p7","anmuplots",7
"9801","Ramsay Island","ANMU",1992,"p7","anmuplots",9
"9857","Ramsay Island","ANMU",2002,"p7","anmuplots",13
"9913","Ramsay Island","ANMU",2007,"p7","anmuplots",18
"9969","Ramsay Island","ANMU",2012,"p7","anmuplots",42
"11369","Ramsay Island","ANMU",1984,"p8","anmuplots",24
"11425","Ramsay Island","ANMU",1992,"p8","anmuplots",34
"11481","Ramsay Island","ANMU",2002,"p8","anmuplots",45
"11537","Ramsay Island","ANMU",2007,"p8","anmuplots",34
"11593","Ramsay Island","ANMU",2012,"p8","anmuplots",55
"12993","Ramsay Island","ANMU",1984,"p9","anmuplots",12
"13105","Ramsay Island","ANMU",2002,"p9","anmuplots",13
"13161","Ramsay Island","ANMU",2007,"p9","anmuplots",18
"13217","Ramsay Island","ANMU",2012,"p9","anmuplots",24
"14617","Ramsay Island","ANMU",1984,"p10","anmuplots",14
"14673","Ramsay Island","ANMU",1992,"p10","anmuplots",23
"14729","Ramsay Island","ANMU",2002,"p10","anmuplots",29
"14785","Ramsay Island","ANMU",2007,"p10","anmuplots",29
"14841","Ramsay Island","ANMU",2012,"p10","anmuplots",31
